影片名,链接,上映日期,影片类型,地区,关注者
比悲伤更悲伤的故事,https://movie.douban.com/subject/27624661/,03月14日,爱情,台湾,9838人
今世未了缘,https://movie.douban.com/subject/30460426/,03月14日,剧情 / 爱情,中国大陆,160人
未来的你,https://movie.douban.com/subject/30196769/,03月14日,爱情 / 奇幻,中国大陆,141人
过春天,https://movie.douban.com/subject/27191431/,03月15日,剧情,中国大陆,57049人
阳台上,https://movie.douban.com/subject/27135473/,03月15日,剧情,中国大陆,30633人
我的英雄学院：两位英雄,https://movie.douban.com/subject/27602116/,03月15日,动作 / 动画,日本,13809人
把哥哥退货可以吗？,https://movie.douban.com/subject/30192287/,03月15日,喜剧 / 爱情,泰国,1988人
少女宿舍,https://movie.douban.com/subject/30426150/,03月15日,悬疑 / 惊悚,中国大陆,230人
老公去哪了,https://movie.douban.com/subject/30304656/,03月15日,喜剧 / 爱情 / 家庭,中国大陆,78人
江海渔童之巨龟奇缘,https://movie.douban.com/subject/27000904/,03月16日,动画,中国大陆,1850人
318号公路,https://movie.douban.com/subject/27133179/,03月18日,剧情,中国大陆,460人
爱无痕,https://movie.douban.com/subject/30474016/,03月19日,剧情,中国大陆,3人
波西米亚狂想曲,https://movie.douban.com/subject/5300054/,03月22日,剧情 / 传记 / 音乐,英国,141809人
地久天长,https://movie.douban.com/subject/26715636/,03月22日,剧情 / 家庭,中国大陆,71582人
乐高大电影2,https://movie.douban.com/subject/25833233/,03月22日,喜剧 / 动画 / 冒险,美国,5058人
夜伴歌声,https://movie.douban.com/subject/30464313/,03月22日,惊悚 / 恐怖,中国大陆,3955人
篮球冠军,https://movie.douban.com/subject/30205168/,03月22日,剧情 / 喜剧 / 运动,西班牙,2287人
老师·好,https://movie.douban.com/subject/27663742/,03月22日,剧情,中国大陆,2232人
狂暴凶狮,https://movie.douban.com/subject/27150225/,03月22日,喜剧 / 惊悚,荷兰,612人
海市蜃楼,https://movie.douban.com/subject/30164448/,03月28日,爱情 / 科幻 / 悬疑,西班牙,15216人
